code,q10,cte,thr,decay,ctmax,max.pf,ta.opt,breadth.50,breadth.80,r.square,n.samples,K.param,AIC,type,code2
mp1,3.457201511,0.005989703,16.83128786,0.004014495,32.61410488,0.100162105,26.5,14.03,7.95,0.999292027,5,5,-26.55710117,fit,mp1
mp2,2.400990534,0.010920739,24.87218358,0.020843945,31.79862293,0.105361221,26.8,12.56,5.94,0.998130218,5,5,-22.06479153,fit,mp2
me,2.342296853,0.047813855,10.79163557,0.002731693,29.92467811,0.204686151,21.5,18.96,10.8,0.965501865,6,5,-5.778302766,fit,me
Mp2,3.287802918,0.050752157,11.71939257,0.002999707,29.97770178,0.485739219,23.4,15.22,8.58,0.974003635,6,5,-5.32300861,fit,Mp2
Mp3,3.980466928,0.018068818,7.004534235,0.001586329,32.11202504,0.280457643,25.9,14.87,8.29,0.889754669,7,5,1.223338521,fit,Mp3
pk,5.172384867,0.002585173,15.80096146,0.005466162,29.32662972,0.084956116,24.5,11.11,6.25,0.968337266,5,5,-9.632931223,fit,pk
pc,3.208859296,0.006527822,17.6176474,0.003496357,34.52953534,0.106443539,28,14.97,8.48,0.984528055,5,5,-9.661663067,fit,pc
rd,7.238272054,0.000290793,20.98651252,0.003181744,38.7148235,0.112642044,34.4,10.4,5.79,0.965161224,6,5,-3.639284816,fit,rd
sc1,3.082014613,0.012526069,24.5357015,0.01176877,33.75365402,0.252450234,28.5,11.93,6.45,0.82234471,6,5,-1.626419981,fit,sc1
sc2,3.313887114,0.011451064,23.89474754,0.007021681,35.82856628,0.307726183,30.1,12.76,7.23,0.995240917,6,5,-21.22971559,fit,sc2
sn1,2.901921391,0.014630125,24.05555822,0.010810018,33.6736031,0.24037366,28.1,12.54,6.76,0.881801401,6,5,-4.279626589,fit,sn1
sn2,3.469453389,0.012118261,19.37139356,0.003805646,35.58149794,0.289916153,29.4,14.15,8.01,0.962479868,6,5,-10.09996262,fit,sn2
sm,4.890364275,0.012227698,14.04369722,0.004677831,28.66471866,0.296635701,23.7,11.66,6.57,0.998956302,5,5,-21.97252763,fit,sm
Sp,8.625336046,0.00057487,16.92444062,0.003432304,33.99340323,0.152417452,30,9.64,5.36,0.948038682,8,5,-7.316687421,fit,Sp
tt,3.165113381,0.010762817,22.35684376,0.015883103,30.2915769,0.171323844,25.4,11.08,5.81,0.999566421,5,5,-25.93096536,fit,tt
tc,3.89317405,0.015055972,20.99749261,0.010178229,30.90955168,0.384435464,26,10.98,6.19,0.895423391,7,5,-4.233730763,fit,tc
Tb,2.564221035,0.020115036,25.2699988,0.010562682,35,0.263309895,29.1,13.57,7.12,0.998657899,5,5,-19.18790521,fit,Tb
Tm,2.733215855,0.026962622,20.5259422,0.00427516,35.82003875,0.345144113,28.8,15.67,8.92,0.961907352,5,5,-3.990966242,fit,Tm
tp1,4.001167695,0.009700241,21.49232789,0.005704238,34.73272983,0.367815191,29.4,12.23,6.95,0.983804093,6,5,-13.77848606,fit,tp1
tl,3.705264743,0.009978966,26.4582097,0.010619901,36.16196351,0.452178107,31.2,11.12,6.23,0.988524622,5,5,-10.36545559,fit,tl
tu,8.800784721,0.005933027,15.29609311,0.00771253,26.68288974,0.47850125,23,8.69,4.87,0.974317042,6,5,-5.379230928,fit,tu
tn,6.62015689,0.002919943,12.90866504,0.00245188,33.10396698,0.257751565,28.5,11.06,6.16,0.990355559,5,5,-7.864564855,fit,tn
